county_name,death_year,type,death_count
Pennsylvania,2000,final,130092
Pennsylvania,2001,final,129648
Pennsylvania,2002,final,129396
Pennsylvania,2003,final,128890
Pennsylvania,2004,final,126602
Pennsylvania,2005,final,128447
Pennsylvania,2006,final,124460
Pennsylvania,2007,final,123967
Pennsylvania,2008,final,126332
Pennsylvania,2009,final,123924
Pennsylvania,2010,final,123473
Pennsylvania,2011,final,127122
Pennsylvania,2012,final,125432
Pennsylvania,2013,final,128704
Pennsylvania,2014,final,127773
Pennsylvania,2015,final,132278
Pennsylvania,2016,final,132724
Pennsylvania,2017,final,135577
Pennsylvania,2018,projected,134571
Pennsylvania,2019,projected,135075
Adams,2000,final,807
Adams,2001,final,822
Adams,2002,final,892
Adams,2003,final,925
Adams,2004,final,861
Adams,2005,final,910
Adams,2006,final,872
Adams,2007,final,910
Adams,2008,final,884
Adams,2009,final,860
Adams,2010,final,906
Adams,2011,final,938
Adams,2012,final,969
Adams,2013,final,974
Adams,2014,final,981
Adams,2015,final,1053
Adams,2016,final,1049
Adams,2017,final,1051
Adams,2018,projected,1055
Adams,2019,projected,1056
Allegheny,2000,final,15072
Allegheny,2001,final,15478
Allegheny,2002,final,15100
Allegheny,2003,final,15104
Allegheny,2004,final,14507
Allegheny,2005,final,14791
Allegheny,2006,final,14049
Allegheny,2007,final,13871
Allegheny,2008,final,14105
Allegheny,2009,final,13585
Allegheny,2010,final,13424
Allegheny,2011,final,13782
Allegheny,2012,final,13322
Allegheny,2013,final,13480
Allegheny,2014,final,13505
Allegheny,2015,final,13866
Allegheny,2016,final,13804
Allegheny,2017,final,14127
Allegheny,2018,projected,14051
Allegheny,2019,projected,14010
Armstrong,2000,final,866
Armstrong,2001,final,864
Armstrong,2002,final,912
Armstrong,2003,final,842
Armstrong,2004,final,835
Armstrong,2005,final,843
Armstrong,2006,final,829
Armstrong,2007,final,830
Armstrong,2008,final,824
Armstrong,2009,final,867
Armstrong,2010,final,775
Armstrong,2011,final,826
Armstrong,2012,final,855
Armstrong,2013,final,818
Armstrong,2014,final,830
Armstrong,2015,final,802
Armstrong,2016,final,886
Armstrong,2017,final,879
Armstrong,2018,projected,855
Armstrong,2019,projected,858
Beaver,2000,final,2049
Beaver,2001,final,2147
Beaver,2002,final,2209
Beaver,2003,final,2105
Beaver,2004,final,2075
Beaver,2005,final,2107
Beaver,2006,final,2091
Beaver,2007,final,2090
Beaver,2008,final,2149
Beaver,2009,final,2013
Beaver,2010,final,1902
Beaver,2011,final,2058
Beaver,2012,final,2093
Beaver,2013,final,2168
Beaver,2014,final,2092
Beaver,2015,final,2177
Beaver,2016,final,2202
Beaver,2017,final,2196
Beaver,2018,projected,2185
Beaver,2019,projected,2174
Bedford,2000,final,539
Bedford,2001,final,481
Bedford,2002,final,460
Bedford,2003,final,501
Bedford,2004,final,486
Bedford,2005,final,510
Bedford,2006,final,488
Bedford,2007,final,467
Bedford,2008,final,523
Bedford,2009,final,489
Bedford,2010,final,510
Bedford,2011,final,563
Bedford,2012,final,482
Bedford,2013,final,572
Bedford,2014,final,587
Bedford,2015,final,578
Bedford,2016,final,584
Bedford,2017,final,610
Bedford,2018,projected,596
Bedford,2019,projected,599
Berks,2000,final,3621
Berks,2001,final,3654
Berks,2002,final,3633
Berks,2003,final,3555
Berks,2004,final,3451
Berks,2005,final,3651
Berks,2006,final,3485
Berks,2007,final,3461
Berks,2008,final,3543
Berks,2009,final,3532
Berks,2010,final,3622
Berks,2011,final,3669
Berks,2012,final,3658
Berks,2013,final,3862
Berks,2014,final,3723
Berks,2015,final,3966
Berks,2016,final,4060
Berks,2017,final,4036
Berks,2018,projected,4177
Berks,2019,projected,4210
Blair,2000,final,1590
Blair,2001,final,1672
Blair,2002,final,1666
Blair,2003,final,1587
Blair,2004,final,1549
Blair,2005,final,1631
Blair,2006,final,1578
Blair,2007,final,1456
Blair,2008,final,1549
Blair,2009,final,1603
Blair,2010,final,1564
Blair,2011,final,1544
Blair,2012,final,1562
Blair,2013,final,1707
Blair,2014,final,1491
Blair,2015,final,1646
Blair,2016,final,1629
Blair,2017,final,1605
Blair,2018,projected,1599
Blair,2019,projected,1597
Bradford,2000,final,625
Bradford,2001,final,631
Bradford,2002,final,659
Bradford,2003,final,686
Bradford,2004,final,686
Bradford,2005,final,654
Bradford,2006,final,647
Bradford,2007,final,622
Bradford,2008,final,698
Bradford,2009,final,664
Bradford,2010,final,663
Bradford,2011,final,670
Bradford,2012,final,629
Bradford,2013,final,665
Bradford,2014,final,687
Bradford,2015,final,720
Bradford,2016,final,653
Bradford,2017,final,707
Bradford,2018,projected,673
Bradford,2019,projected,674
Bucks,2000,final,4995
Bucks,2001,final,4994
Bucks,2002,final,4958
Bucks,2003,final,5071
Bucks,2004,final,5048
Bucks,2005,final,5203
Bucks,2006,final,4911
Bucks,2007,final,4961
Bucks,2008,final,4964
Bucks,2009,final,5157
Bucks,2010,final,5258
Bucks,2011,final,5359
Bucks,2012,final,5333
Bucks,2013,final,5801
Bucks,2014,final,5659
Bucks,2015,final,5956
Bucks,2016,final,6010
Bucks,2017,final,6157
Bucks,2018,projected,6108
Bucks,2019,projected,6122
Butler,2000,final,1633
Butler,2001,final,1714
Butler,2002,final,1816
Butler,2003,final,1757
Butler,2004,final,1867
Butler,2005,final,1732
Butler,2006,final,1724
Butler,2007,final,1794
Butler,2008,final,1785
Butler,2009,final,1766
Butler,2010,final,1785
Butler,2011,final,1843
Butler,2012,final,1874
Butler,2013,final,1881
Butler,2014,final,1897
Butler,2015,final,1942
Butler,2016,final,1982
Butler,2017,final,2086
Butler,2018,projected,2030
Butler,2019,projected,2036
Cambria,2000,final,2015
Cambria,2001,final,1961
Cambria,2002,final,1913
Cambria,2003,final,1878
Cambria,2004,final,1863
Cambria,2005,final,1876
Cambria,2006,final,1884
Cambria,2007,final,1818
Cambria,2008,final,1799
Cambria,2009,final,1812
Cambria,2010,final,1858
Cambria,2011,final,1809
Cambria,2012,final,1788
Cambria,2013,final,1791
Cambria,2014,final,1776
Cambria,2015,final,1941
Cambria,2016,final,1934
Cambria,2017,final,1902
Cambria,2018,projected,1907
Cambria,2019,projected,1902
Cameron,2000,final,67
Cameron,2001,final,75
Cameron,2002,final,72
Cameron,2003,final,75
Cameron,2004,final,83
Cameron,2005,final,67
Cameron,2006,final,74
Cameron,2007,final,58
Cameron,2008,final,62
Cameron,2009,final,68
Cameron,2010,final,65
Cameron,2011,final,66
Cameron,2012,final,69
Cameron,2013,final,54
Cameron,2014,final,53
Cameron,2015,final,62
Cameron,2016,final,49
Cameron,2017,final,71
Cameron,2018,projected,62
Cameron,2019,projected,62
Carbon,2000,final,788
Carbon,2001,final,764
Carbon,2002,final,788
Carbon,2003,final,709
Carbon,2004,final,726
Carbon,2005,final,793
Carbon,2006,final,817
Carbon,2007,final,757
Carbon,2008,final,712
Carbon,2009,final,776
Carbon,2010,final,782
Carbon,2011,final,815
Carbon,2012,final,779
Carbon,2013,final,797
Carbon,2014,final,770
Carbon,2015,final,857
Carbon,2016,final,797
Carbon,2017,final,827
Carbon,2018,projected,808
Carbon,2019,projected,803
Centre,2000,final,861
Centre,2001,final,909
Centre,2002,final,848
Centre,2003,final,936
Centre,2004,final,832
Centre,2005,final,891
Centre,2006,final,860
Centre,2007,final,881
