county_name,death_count
Pennsylvania,134571
Adams,1055
Allegheny,14051
Armstrong,855
Beaver,2185
Bedford,596
Berks,4177
Blair,1599
Bradford,673
Bucks,6108
Butler,2030
Cambria,1907
Cameron,62
Carbon,808
Centre,961
Chester,4091
Clarion,425
Clearfield,939
Clinton,399
Columbia,699
Crawford,991
Cumberland,2549
Dauphin,2540
Delaware,5482
Elk,381
Erie,2992
Fayette,1813
Forest,88
Franklin,1650
Fulton,161
Greene,440
Huntingdon,454
Indiana,957
Jefferson,551
Juniata,252
Lackawanna,2683
Lancaster,5121
Lawrence,1216
Lebanon,1499
Lehigh,3628
Luzerne,4123
Lycoming,1253
McKean,518
Mercer,1454
Mifflin,528
Monroe,1523
Montgomery,7729
Montour,227
Northampton,3047
Northumberland,1175
Perry,475
Philadelphia,14528
Pike,507
Potter,202
Schuylkill,2001
Snyder,337
Somerset,1000
Sullivan,102
Susquehanna,456
Tioga,452
Union,368
Venango,651
Warren,494
Washington,2560
Wayne,597
Westmoreland,4556
Wyoming,331
York,4309
