County,2019_Population
Philadelphia,"1,584,138"
Allegheny,"1,218,452"
Montgomery,"828,604"
Bucks,"628,195"
Delaware,"564,751"
Lancaster,"543,557"
Chester,"522,046"
York,"448,273"
Berks,"420,152"
Lehigh,"368,100"
Westmoreland,"350,611"
Luzerne,"317,646"
Northampton,"304,807"
Dauphin,"277,097"
Erie,"272,061"
Cumberland,"251,423"
Lackawanna,"210,793"
Washington,"207,346"
Butler,"187,888"
Monroe,"169,507"
Beaver,"164,742"
Centre,"162,805"
Franklin,"154,835"
Schuylkill,"142,067"
Lebanon,"141,314"
Cambria,"131,730"
Fayette,"130,441"
Blair,"122,492"
Lycoming,"113,664"
Mercer,"110,683"
Adams,"102,811"
Northumberland,"91,083"
Lawrence,"86,184"
Crawford,"85,063"
Indiana,"84,501"
Clearfield,"79,388"
Somerset,"73,952"
Columbia,"65,456"
Armstrong,"65,263"
Carbon,"64,227"
Bradford,"60,833"
Pike,"55,933"
Wayne,"51,276"
Venango,"51,266"
Bedford,"48,176"
Mifflin,"46,222"
Perry,"46,139"
Huntingdon,"45,168"
Union,"44,785"
Jefferson,"43,641"
McKean,"40,968"
Tioga,"40,763"
Susquehanna,"40,589"
Snyder,"40,540"
Warren,"39,498"
Clarion,"38,779"
Clinton,"38,684"
Greene,"36,506"
Elk,"30,169"
Wyoming,"27,046"
Juniata,"24,704"
Montour,"18,240"
Potter,"16,622"
Fulton,"14,523"
Forest,"7,279"
Sullivan,"6,071"
Cameron,"4,492"
