County Name,2017,2018,Jan17,Feb17,Mar17,Apr17,May17,Jun17,Jul17,Aug17,Sep17,Oct17,Nov17,Dec17,Jan18,Feb18,Mar18,Apr18,May18,Jun18,Jul18,Aug18,Sep18,Oct18,Nov18,Dec18
Adams,35.0,27.0,3.0,3.0,3.0,2.0,3.0,2.0,5.0,1.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,0.0,4.0,3.0,3.0,0.0,2.0,5.0,1.0,2.0
Allegheny,1049.0,1003.0,130.0,67.0,116.0,105.0,111.0,79.0,100.0,101.0,76.0,71.0,43.0,50.0,71.0,77.0,99.0,122.0,93.0,58.0,95.0,69.0,57.0,89.0,57.0,116.0
Armstrong,29.0,22.0,8.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,4.0,4.0,2.0,0.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,5.0
Beaver,129.0,121.0,17.0,11.0,12.0,11.0,13.0,9.0,18.0,9.0,9.0,11.0,4.0,5.0,11.0,12.0,9.0,15.0,12.0,9.0,7.0,10.0,5.0,9.0,9.0,13.0
Bedford,27.0,12.0,4.0,0.0,3.0,2.0,2.0,2.0,2.0,6.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0
Berks,135.0,174.0,15.0,3.0,12.0,8.0,12.0,15.0,22.0,3.0,14.0,16.0,10.0,5.0,8.0,12.0,15.0,13.0,13.0,15.0,15.0,19.0,14.0,15.0,15.0,20.0
Blair,41.0,52.0,5.0,0.0,4.0,2.0,8.0,5.0,2.0,1.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,7.0,3.0,6.0,7.0,3.0,2.0
Bradford,10.0,19.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,3.0,2.0,1.0
Bucks,254.0,274.0,30.0,19.0,13.0,22.0,23.0,20.0,30.0,29.0,22.0,22.0,12.0,12.0,18.0,17.0,31.0,38.0,33.0,22.0,22.0,14.0,16.0,21.0,19.0,23.0
Butler,49.0,62.0,10.0,3.0,2.0,3.0,5.0,4.0,0.0,5.0,2.0,6.0,6.0,3.0,8.0,7.0,5.0,6.0,7.0,5.0,4.0,3.0,1.0,8.0,4.0,4.0
Cambria,78.0,80.0,4.0,4.0,2.0,12.0,6.0,4.0,15.0,7.0,6.0,9.0,3.0,6.0,14.0,2.0,10.0,8.0,5.0,2.0,6.0,9.0,9.0,3.0,5.0,7.0
Cameron,8.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
