,County,hotline call_2018,Number Boxes,2019 Population ,Any Drug Overdose Deaths,Opioid Overdose Deaths,Annual Any Overdose ED Rate by Visit,Annual Opioid Overdose ED Rate by Visit,Annual Any Overdose ED Rate by Population,Annual Opioid Overdose ED Rate by Population,any_od_death_over_all_deaths,op_od_death_over_all_death
1,Adams,27.0,11.0,"102,811",16.0,16.0,63.24063813,8.554990972999999,6.47377267,1.001852564,0.015165876777251185,0.015165876777251185
2,Allegheny,1003.0,38.0,"1,218,452",487.0,411.0,73.27170788,18.0539022,8.249880626,2.152409391,0.03465945484307167,0.029250587146822292
3,Armstrong,22.0,9.0,"65,263",22.0,21.0,33.59218828,2.753187872,7.388562201,1.942353981,0.025730994152046785,0.02456140350877193
4,Beaver,121.0,16.0,"164,742",43.0,40.0,66.88848014,2.022102888,7.719393283,0.662092211,0.019679633867276888,0.018306636155606407
5,Bedford,12.0,4.0,"48,176",1.0,1.0,50.38719834,7.602126015,5.620874588,0.722447195,0.0016778523489932886,0.0016778523489932886
6,Berks,174.0,28.0,"420,152",85.0,76.0,60.50481311,12.16402032,6.760734611,1.388044628,0.020349533157768735,0.01819487670576969
7,Blair,52.0,6.0,"122,492",24.0,20.0,67.81313099,11.54990866,9.821233305,1.457997522,0.0150093808630394,0.012507817385866166
8,Bradford,19.0,8.0,"60,833",10.0,1.0,35.48162303,0.00075,6.203473945,0.001,0.014858841010401188,0.0014858841010401188
9,Bucks,274.0,36.0,"628,195",222.0,209.0,94.1699669,12.76870741,8.466740194,1.432343266,0.036345776031434185,0.03421741977734119
10,Butler,62.0,11.0,"187,888",45.0,43.0,51.05849304,3.981207287,5.010475233999999,0.921927443,0.022167487684729065,0.021182266009852218
11,Cambria,80.0,3.0,"131,730",63.0,58.0,69.13941552,12.85265159,8.567949855,1.76620019,0.03303618248557944,0.030414263240692185
12,Cameron,2.0,2.0,"4,492",0.0,0.0,0.001,0.001,0.00075,0.00025,0.0,0.0
13,Carbon,62.0,7.0,"64,227",35.0,33.0,110.8652074,34.216370399999995,13.54674017,3.758633111,0.043316831683168314,0.04084158415841584
14,Centre,27.0,8.0,"162,805",20.0,14.0,98.42708363,0.8756050120000001,5.2871019310000005,0.077597412,0.02081165452653486,0.014568158168574402
15,Chester,173.0,22.0,"522,046",107.0,98.0,71.12692672,17.08205401,4.096916385,1.078389271,0.02615497433390369,0.023955023221706184
