County,Annual Any Overdose ED Rate by Visit,Annual Opioid Overdose ED Rate by Visit,Annual Any Overdose ED Rate by Population,Annual Opioid Overdose ED Rate by Population
Adams,63.24063813,8.554990972999999,6.47377267,1.001852564
Allegheny,73.27170788,18.0539022,8.249880626,2.152409391
Armstrong,33.59218828,2.753187872,7.388562201,1.942353981
Beaver,66.88848014,2.022102888,7.719393283,0.662092211
Bedford,50.38719834,7.602126015,5.6208745879999995,0.722447195
Berks,60.50481311,12.16402032,6.760734611,1.388044628
Blair,67.81313099,11.54990866,9.821233305,1.4579975219999999
Bradford,35.48162303,0.00075,6.203473945,0.001
Bucks,94.1699669,12.76870741,8.466740194,1.432343266
Butler,51.05849304,3.9812072869999997,5.010475233999999,0.921927443
Cambria,69.13941552,12.85265159,8.567949855,1.76620019
Cameron,0.001,0.001,0.00075,0.00025
Carbon,110.8652074,34.216370399999995,13.54674017,3.7586331110000004
Centre,98.42708363,0.8756050120000001,5.2871019310000005,0.077597412
Chester,71.12692672,17.08205401,4.096916385,1.078389271
Clarion,43.79083944,0.0005,5.005460502,0.001
Clearfield,34.12820389,1.541014219,4.39229466,0.502226533
Clinton,46.49073914,0.0,4.4233037589999995,0.0005
Columbia,50.92261103,0.001,5.536006795,0.37967854700000003
Crawford,72.73286096,6.513806643,8.327626829,0.9867981259999999
Cumberland,69.91747562,14.90760317,6.048403222,1.239672726
Dauphin,82.37046265,16.251550299999998,10.69964818,1.904174676
Delaware,121.92528840000001,39.38401164,11.27155142,3.55943729
Elk,38.4012661,0.00075,5.464118952000001,0.001
Erie,72.72105913,17.97391569,9.160744661,2.167253707
Fayette,69.97649112,17.91221745,10.05672831,2.376353571
Forest,0.001,0.001,2.055639304,0.0
Franklin,70.22259838,5.401776195,6.986137946,0.584028923
Fulton,54.04145933,0.0005,5.826158156,0.00075
Greene,42.90614169,0.00025,7.070981778999999,0.001
Huntingdon,52.36839283,0.00025,5.330724759,0.00075
Indiana,45.26862288,0.001,6.062175556000001,0.500776624
Jefferson,27.75681105,0.001,5.136517213,0.001
Juniata,0.001,0.001,4.181284164,0.0005
Lackawanna,69.92628174,8.727532101,9.584315884,1.50644569
Lancaster,109.7425253,22.26994372,7.929593316,1.620915707
Lawrence,91.93616325,44.63977488,11.68613399,5.426730524
Lebanon,68.27639354,15.00116792,6.636661563,1.2164231429999999
Lehigh,70.54905735,12.67506557,10.96880167,2.012311252
Luzerne,110.9594193,31.86197805,11.93503559,3.411135585
Lycoming,44.12540307,4.7555018360000005,7.04930561,0.7246949690000001
McKean,42.29040877,0.001,5.746431164,0.001
Mercer,55.24905659,19.89119855,7.606263981000001,2.55033557
Mifflin,44.13321213,2.889459229,7.113908769,0.862791972
Monroe,60.94460031,13.40371161,7.289670686,1.606702927
Montgomery,58.88354436,9.190637342999999,5.568501649,1.03804134
Montour,46.17544548,0.00075,5.609676007000001,0.0005
Northampton,66.80542131,14.184028,7.036798997999999,1.664441918
Northumberland,49.68504314,6.5793684589999994,7.225983114,1.1137793520000001
Pennsylvania,78.03250162,17.12212151,8.643136169,1.916748981
Perry,0.001,0.001,8.075530601,2.601513213
Philadelphia,99.61758148,26.64644093,14.78464611,3.77167408
Pike,0.001,0.001,4.713508467,0.628967795
Potter,0.001,0.00075,0.744709053,0.00025
Schuylkill,82.70886171,11.42861332,9.416493069,1.1748697129999999
Snyder,0.001,0.001,3.308742433,0.00075
Somerset,43.78004259,7.180469368,5.671064818,0.87272151
Sullivan,0.001,0.001,0.00075,0.0
Susquehanna,36.51101783,0.00075,4.330852751,0.001
Tioga,59.2015183,0.00075,5.5769372189999995,0.00075
Union,47.89887502,7.861393184,4.877228389,0.00075
Venango,64.01678589,14.620386199999999,9.224914028999999,2.028515127
Warren,28.975232300000002,0.00025,5.6733654410000005,0.001
Washington,65.08380995,11.78921578,7.332439291,1.314532702
Wayne,68.75065043,13.15443529,5.956449566,0.879070428
Westmoreland,62.41485716,8.037071353,7.876594816,1.56681139
Wyoming,29.08689448,0.001,2.836791981,0.915513542
York,114.89688899999999,30.52167173,9.101547262,2.4211012419999998
