,County,Jan19,Feb19,Mar19,Apr19,May19,Jun19,Jul19,Aug19,Total
0,Adams,1.0,3.0,4.0,6.0,1.0,2.0,,1.0,18.0
1,Allegheny,37.0,40.0,35.0,35.0,42.0,47.0,60.0,20.0,316.0
2,Armstrong,1.0,6.0,3.0,2.0,1.0,1.0,3.0,,17.0
3,Beaver,3.0,1.0,7.0,2.0,1.0,2.0,0.0,1.0,17.0
4,Berks,7.0,5.0,6.0,9.0,11.0,5.0,6.0,0.0,49.0
5,Blair,3.0,,1.0,3.0,1.0,,2.0,0.0,10.0
6,Bucks,33.0,25.0,24.0,52.0,57.0,32.0,37.0,12.0,272.0
7,Butler,4.0,3.0,1.0,4.0,4.0,3.0,6.0,,25.0
8,Cambria,8.0,5.0,13.0,5.0,16.0,7.0,9.0,4.0,67.0
9,Carbon,3.0,8.0,4.0,6.0,8.0,5.0,7.0,7.0,48.0
10,Centre,0.0,,,3.0,2.0,,,,5.0
11,Chester,15.0,9.0,31.0,12.0,4.0,13.0,23.0,7.0,114.0
12,Clarion,0.0,,0.0,,0.0,,,,0.0
13,Cumberland,6.0,7.0,5.0,5.0,8.0,11.0,6.0,5.0,53.0
14,Dauphin,4.0,3.0,1.0,13.0,19.0,23.0,10.0,1.0,74.0
15,Delaware,17.0,26.0,28.0,28.0,21.0,1.0,3.0,3.0,127.0
16,Erie,5.0,9.0,8.0,11.0,5.0,17.0,16.0,2.0,73.0
17,Fayette,0.0,2.0,6.0,4.0,2.0,1.0,1.0,2.0,18.0
18,Franklin,1.0,4.0,7.0,3.0,4.0,9.0,4.0,0.0,32.0
19,Fulton,0.0,0.0,,0.0,0.0,,,,0.0
20,Indiana,3.0,1.0,2.0,2.0,2.0,1.0,3.0,,14.0
21,Juniata,0.0,0.0,,,,,,,0.0
22,Lackawanna,0.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,10.0
23,Lancaster,13.0,9.0,12.0,18.0,12.0,10.0,13.0,11.0,98.0
24,Lawrence,4.0,1.0,,3.0,2.0,1.0,2.0,,13.0
25,Lebanon,7.0,2.0,7.0,4.0,4.0,1.0,16.0,2.0,43.0
26,Lehigh,15.0,11.0,15.0,4.0,4.0,3.0,2.0,5.0,59.0
27,Luzerne,14.0,12.0,14.0,18.0,10.0,9.0,25.0,10.0,112.0
28,Lycoming,1.0,,2.0,6.0,2.0,4.0,2.0,2.0,19.0
29,McKean,2.0,,5.0,0.0,,0.0,,,7.0
30,Mercer,2.0,3.0,9.0,5.0,5.0,7.0,6.0,3.0,40.0
31,Monroe,0.0,4.0,2.0,4.0,4.0,8.0,13.0,9.0,44.0
32,Montgomery,8.0,6.0,8.0,9.0,8.0,1.0,7.0,5.0,52.0
33,Montour,0.0,2.0,1.0,,,1.0,2.0,,6.0
34,Northampton,11.0,8.0,12.0,4.0,13.0,3.0,5.0,1.0,57.0
35,Northumberland,2.0,1.0,6.0,1.0,3.0,7.0,1.0,,21.0
36,Philadelphia,13.0,3.0,5.0,7.0,7.0,7.0,12.0,5.0,59.0
37,Pike,0.0,0.0,2.0,1.0,1.0,0.0,1.0,,5.0
38,Schuylkill,5.0,4.0,,7.0,6.0,2.0,1.0,1.0,26.0
39,Somerset,2.0,6.0,0.0,1.0,1.0,2.0,2.0,,14.0
40,Susquehanna,0.0,1.0,2.0,1.0,,1.0,,,5.0
41,Tioga,0.0,1.0,3.0,,3.0,,4.0,2.0,13.0
42,Union,0.0,,0.0,,,4.0,,,4.0
43,Warren,0.0,,,3.0,,,1.0,,4.0
44,Washington,2.0,2.0,2.0,1.0,6.0,11.0,5.0,2.0,31.0
45,Westmoreland,13.0,3.0,8.0,9.0,8.0,23.0,10.0,6.0,80.0
46,Wyoming,0.0,,1.0,,,0.0,,,1.0
47,York,59.0,66.0,57.0,57.0,47.0,52.0,56.0,25.0,419.0
48,Bedford,,1.0,,,0.0,5.0,,,6.0
49,Clearfield,,1.0,,,,1.0,2.0,,4.0
50,Clinton,,1.0,,,1.0,0.0,,,2.0
51,Greene,,0.0,,,1.0,,,,1.0
52,Jefferson,,0.0,,1.0,,2.0,1.0,1.0,5.0
53,Perry,,0.0,,1.0,2.0,2.0,1.0,0.0,6.0
54,Snyder,,1.0,,,,2.0,,,3.0
55,Bradford,,,0.0,1.0,,1.0,2.0,,4.0
56,Cameron,,,0.0,,,,,,0.0
57,Columbia,,,1.0,2.0,1.0,3.0,2.0,,9.0
58,Crawford,,,0.0,3.0,3.0,0.0,1.0,,7.0
59,Mifflin,,,0.0,1.0,2.0,,0.0,,3.0
60,Potter,,,2.0,,1.0,1.0,,,4.0
61,Elk,,,,2.0,,3.0,2.0,,7.0
62,Huntingdon,,,,0.0,1.0,0.0,0.0,1.0,2.0
63,Wayne,,,,0.0,,1.0,,,1.0
