County,opiate
Adams,21
Allegheny,517
Armstrong,14
Beaver,43
Bedford,11
Berks,66
Blair,17
Bradford,6
Bucks,485
Butler,26
Cambria,64
Carbon,49
Centre,24
Chester,191
Clearfield,14
Columbia,11
Crawford,10
Cumberland,42
Dauphin,113
Delaware,52
Elk,7
Erie,90
Fayette,18
Forest,2
Franklin,59
Greene,2
Huntingdon,8
Indiana,13
Jefferson,2
Lackawanna,18
Lancaster,158
Lawrence,24
Lebanon,41
Lehigh,112
Luzerne,213
Lycoming,28
McKean,0
Mercer,110
Mifflin,10
Monroe,22
Montgomery,119
Montour,2
Northampton,76
Northumberland,32
Perry,15
Philadelphia,57
Pike,16
Potter,2
Schuylkill,22
Snyder,1
Somerset,8
Susquehanna,6
Tioga,12
Union,3
Washington,56
Wayne,8
Westmoreland,87
Wyoming,7
York,541
