County Name,Quarterly Rate,Overdose Type,Type of Rate,Time Measure,Time Period,Year,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
Tioga,0,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,59,59,42,117,"(41.7733383358, -77.2578807579)"
Pennsylvania,93.45794393,Any Drug Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2017 Q3,2017,07/01/2017,,0,00,42,000,"(39.346129, -75.167756)"
Delaware,48.79343432,Any Opioid Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,23,23,42,045,"(39.9165786652, -75.4062771212)"
Mercer,8.90565247,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2018 Q1,2018,01/01/2018,,43,43,42,085,"(41.302377765, -80.2600941079)"
Snyder,0,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q2,2018,04/01/2018,,55,55,42,109,"(40.7711373692, -77.0725596804)"
Juniata,5.711022273,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q4,2018,10/01/2018,,34,34,42,067,"(40.5343300836, -77.405775001)"
Pennsylvania,12.09881748,Heroin Overdose,"Rate of ED Visits per 10,000 Visits (by facility location)",Quarterly Rates,2019 Q2,2019,04/01/2019,,0,00,42,000,"(39.346129, -75.167756)"
Bucks,0.843491034,Any Opioid Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,9,09,42,017,"(40.335011331, -75.1129124111)"
Allegheny,11.24240422,Any Drug Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2016 Q4,2016,10/01/2016,,2,02,42,003,"(40.4673554298, -79.9861984282)"
Elk,0,Heroin Overdose,"Rate of ED Visits per 10,000 Population (by patient location)",Quarterly Rates,2018 Q3,2018,07/01/2018,,24,24,42,047,"(41.4281941606, -78.6494771322)"
