County Name,Rate or Count,Type of Drug Class,Type of Rate or Count Measure,Time Measure,Year,Time Period,Quarter Date Start,Notes,County Code Number,County Code Text,State FIPS Code,County FIPS Code,Latitude/Longitude
Snyder,1669.32183,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2016,2016 Q4,10/01/2016,,55,55,42,109,"(40.7711373692, -77.0725596804)"
Juniata,2631,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2018,2018 Q4,10/01/2018,,34,34,42,067,"(40.5343300836, -77.405775001)"
Bucks,103772,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q2,04/01/2017,,9,09,42,017,"(40.335011331, -75.1129124111)"
Allegheny,287315,Opioids (All Schedules) - excluding Buprenorphine,Number of Dispensations (by pharmacy location),Quarterly Counts,2016,2016 Q4,10/01/2016,,2,02,42,003,"(40.4673554298, -79.9861984282)"
Elk,2350.564626,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,,24,24,42,047,"(41.4281941606, -78.6494771322)"
Huntingdon,6444,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2018,2018 Q4,10/01/2018,,31,31,42,061,"(40.4161050032, -77.9827661036)"
Juniata,1211.144652,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q3,07/01/2017,,34,34,42,067,"(40.5343300836, -77.405775001)"
Clearfield,17271,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2017,2017 Q4,10/01/2017,,17,17,42,033,"(41.0004290024, -78.4755834299)"
Montour,1438.2662,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q3,07/01/2018,,47,47,42,093,"(41.0280182438, -76.6647052668)"
Delaware,1696.877612,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q2,04/01/2017,,23,23,42,045,"(39.9165786652, -75.4062771212)"
Berks,1350.232378,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Dispensations (by pharmacy location) per 10,000 Population",Quarterly Rates,2017,2017 Q1,01/01/2017,,6,06,42,011,"(40.4193963513, -75.9307732705)"
Bedford,1639.026403,Opioids (All Schedules) - excluding Buprenorphine,"Rate of Prescriptions (by patient location) per 10,000 Population",Quarterly Rates,2018,2018 Q1,01/01/2018,,5,05,42,009,"(40.0073753643, -78.4911647381)"
Venango,15287,Opioids (All Schedules) - excluding Buprenorphine,Number of Prescriptions (by patient location),Quarterly Counts,2016,2016 Q4,10/01/2016,,61,61,42,121,"(41.4034125863, -79.7628656104)"
