Name,2019 Population ,Growth Since 2010
Philadelphia County,"1,584,138",3.65%
Allegheny County,"1,218,452",-0.45%
Montgomery County,"828,604",3.46%
Bucks County,"628,195",0.45%
Delaware County,"564,751",1.03%
Lancaster County,"543,557",4.47%
Chester County,"522,046",4.43%
York County,"448,273",2.96%
Berks County,"420,152",1.97%
Lehigh County,"368,100",5.12%
Westmoreland County,"350,611",-3.98%
Luzerne County,"317,646",-1.04%
Northampton County,"304,807",2.31%
Dauphin County,"277,097",3.29%
Erie County,"272,061",-3.11%
Cumberland County,"251,423",6.58%
Lackawanna County,"210,793",-1.74%
Washington County,"207,346",-0.28%
Butler County,"187,888",2.06%
Monroe County,"169,507",-0.20%
Beaver County,"164,742",-3.46%
Centre County,"162,805",5.57%
Franklin County,"154,835",3.28%
Schuylkill County,"142,067",-4.19%
Lebanon County,"141,314",5.74%
Cambria County,"131,730",-8.17%
Fayette County,"130,441",-4.40%
Blair County,"122,492",-3.58%
Lycoming County,"113,664",-2.21%
Mercer County,"110,683",-5.08%
Adams County,"102,811",1.32%
Northumberland County,"91,083",-3.41%
Lawrence County,"86,184",-5.30%
Crawford County,"85,063",-4.01%
Indiana County,"84,501",-4.91%
Clearfield County,"79,388",-2.65%
Somerset County,"73,952",-4.90%
Columbia County,"65,456",-2.83%
Armstrong County,"65,263",-5.23%
Carbon County,"64,227",-1.58%
Bradford County,"60,833",-3.03%
Pike County,"55,933",-2.50%
Wayne County,"51,276",-2.97%
Venango County,"51,266",-6.75%
Bedford County,"48,176",-3.04%
Mifflin County,"46,222",-0.89%
Perry County,"46,139",0.46%
Huntingdon County,"45,168",-1.82%
Union County,"44,785",-0.48%
Jefferson County,"43,641",-3.37%
McKean County,"40,968",-5.48%
Tioga County,"40,763",-2.88%
Susquehanna County,"40,589",-6.35%
Snyder County,"40,540",2.10%
Warren County,"39,498",-5.44%
Clarion County,"38,779",-2.88%
Clinton County,"38,684",-1.44%
Greene County,"36,506",-5.45%
Elk County,"30,169",-5.31%
Wyoming County,"27,046",-4.23%
Juniata County,"24,704",0.32%
Montour County,"18,240",-0.34%
Potter County,"16,622",-4.78%
Fulton County,"14,523",-2.28%
Forest County,"7,279",-5.55%
Sullivan County,"6,071",-5.24%
Cameron County,"4,492",-11.61%
