County Name,Time Period,Time Period Date Start,Time Period Date End,"Rate of Hospitalizations for Opioid Overdose per 100,000 Residents",Type of Rate,FIPS County Code,State FIPS Code,County FIPS Code,County Code Number,Latitude/Longitude Geo-referenced Column
UNION,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42119,42,119,60,"(40.9647313096, -77.0641580308)"
COMMONWEALTH,CY 2016 - CY 2017,1/1/2016,12/31/2017,64.6,Rate of hospitalizations for opioid overdose per 100000 population,42000,42,0,0,"(39.346129, -75.167756)"
BEDFORD,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42009,42,9,5,"(40.0073753643, -78.4911647381)"
BUTLER,CY 2016 - CY 2017,1/1/2016,12/31/2017,46.1,Rate of hospitalizations for opioid overdose per 100000 population,42019,42,19,10,"(40.9108318483, -79.9171177889)"
SOMERSET,CY 2016 - CY 2017,1/1/2016,12/31/2017,46.9,Rate of hospitalizations for opioid overdose per 100000 population,42111,42,111,56,"(39.9714629901, -79.0310020611)"
MCKEAN,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42083,42,83,42,"(41.810370736, -78.5712201998)"
ELK,CY 2016 - CY 2017,1/1/2016,12/31/2017,42.7,Rate of hospitalizations for opioid overdose per 100000 population,42047,42,47,24,"(41.4281941606, -78.6494771322)"
LAWRENCE,CY 2016 - CY 2017,1/1/2016,12/31/2017,69.9,Rate of hospitalizations for opioid overdose per 100000 population,42073,42,73,37,"(40.9932503514, -80.3375411446)"
ERIE,CY 2016 - CY 2017,1/1/2016,12/31/2017,72.6,Rate of hospitalizations for opioid overdose per 100000 population,42049,42,49,25,"(41.9941378702, -80.0407591036)"
PIKE,CY 2016 - CY 2017,1/1/2016,12/31/2017,25.3,Rate of hospitalizations for opioid overdose per 100000 population,42103,42,103,52,"(41.332571995, -75.0327092448)"
CENTRE,CY 2016 - CY 2017,1/1/2016,12/31/2017,23.4,Rate of hospitalizations for opioid overdose per 100000 population,42027,42,27,14,"(40.9193135008, -77.8250011212)"
CRAWFORD,CY 2016 - CY 2017,1/1/2016,12/31/2017,39.3,Rate of hospitalizations for opioid overdose per 100000 population,42039,42,39,20,"(41.6854690692, -80.1132108295)"
MONTGOMERY,CY 2016 - CY 2017,1/1/2016,12/31/2017,49.3,Rate of hospitalizations for opioid overdose per 100000 population,42091,42,91,46,"(40.209898739, -75.3725200072)"
SULLIVAN,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42113,42,113,57,"(41.4480993958, -76.5147922046)"
FULTON,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42057,42,57,29,"(39.9248751086, -78.1148504535)"
VENANGO,CY 2016 - CY 2017,1/1/2016,12/31/2017,47.6,Rate of hospitalizations for opioid overdose per 100000 population,42121,42,121,61,"(41.4034125863, -79.7628656104)"
ADAMS,CY 2016 - CY 2017,1/1/2016,12/31/2017,51.5,Rate of hospitalizations for opioid overdose per 100000 population,42001,42,1,1,"(39.8720956503, -77.2222427076)"
BERKS,CY 2016 - CY 2017,1/1/2016,12/31/2017,57.4,Rate of hospitalizations for opioid overdose per 100000 population,42011,42,11,6,"(40.4193963513, -75.9307732705)"
FRANKLIN,CY 2016 - CY 2017,1/1/2016,12/31/2017,43.8,Rate of hospitalizations for opioid overdose per 100000 population,42055,42,55,28,"(39.9278619704, -77.7239884483)"
LEBANON,CY 2016 - CY 2017,1/1/2016,12/31/2017,58.7,Rate of hospitalizations for opioid overdose per 100000 population,42075,42,75,38,"(40.3675970024, -76.4618257486)"
CUMBERLAND,CY 2016 - CY 2017,1/1/2016,12/31/2017,37.3,Rate of hospitalizations for opioid overdose per 100000 population,42041,42,41,21,"(40.167598388, -77.268662705)"
JEFFERSON,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42065,42,65,33,"(41.1313909115, -79.0010181419)"
WESTMORELAND,CY 2016 - CY 2017,1/1/2016,12/31/2017,74.5,Rate of hospitalizations for opioid overdose per 100000 population,42129,42,129,65,"(40.3103149985, -79.471341176)"
BUCKS,CY 2016 - CY 2017,1/1/2016,12/31/2017,72.7,Rate of hospitalizations for opioid overdose per 100000 population,42017,42,17,9,"(40.335011331, -75.1129124111)"
POTTER,CY 2016 - CY 2017,1/1/2016,12/31/2017,,Not reported due to low volume,42105,42,105,53,"(41.7442064382, -77.8987922939)"
CARBON,CY 2016 - CY 2017,1/1/2016,12/31/2017,56,Rate of hospitalizations for opioid overdose per 100000 population,42025,42,25,13,"(40.9193670081, -75.7110703866)"
LYCOMING,CY 2016 - CY 2017,1/1/2016,12/31/2017,60.7,Rate of hospitalizations for opioid overdose per 100000 population,42081,42,81,41,"(41.3445979226, -77.069424568)"
ALLEGHENY,CY 2016 - CY 2017,1/1/2016,12/31/2017,76.1,Rate of hospitalizations for opioid overdose per 100000 population,42003,42,3,2,"(40.4673554298, -79.9861984282)"
INDIANA,CY 2016 - CY 2017,1/1/2016,12/31/2017,46.3,Rate of hospitalizations for opioid overdose per 100000 population,42063,42,63,32,"(40.6529549748, -79.0933349286)"
