Drug Take-Back Site,Zip Code,County,County Code Number,County Code,FIPS County Code,State FIPS,Phone Number,Hours of Availability,Location 1
Washington Township Police Dept.,18013,Northampton,48,48,48,42,(610) 599-7828,Contact location for hours,"1021 Washington Boulevard
Bangor, Pennsylvania
(40.8305, -75.2238)"
Curwensville Police Dept.,16833,Clearfield,17,17,17,42,(814) 236-3858,Contact location for hours,"900 Susquehanna Avenue
Curwensville, Pennsylvania
(40.9643, -78.5206)"
Philadelphia Police Dept.-14th Police District,19144,Philadelphia,51,51,51,42,(215) 686-3140,Contact location for hours,"43 West Haines Street
Philadelphia, Pennsylvania
(40.0378, -75.1781)"
State Police-Troop R / Honesdale,18431,Wayne,64,64,64,42,NA,NA,"RR6, 14 Collan Park
Honesdale, Pennsylvania
(41.5109, -75.2785)"
State Police-Troop E / Franklin,16323,Venango,61,61,61,42,NA,NA,"6724 US 322
Franklin, Pennsylvania
(41.3531, -79.7293)"
City of Arnold Police Dept.,15068,Westmoreland,65,65,65,42,(724) 339-9663,"7 days a week, 24 hours a day","601 Drey Street
Arnold, Pennsylvania
(40.5802, -79.7676)"
New Brighton Police Dept.,15066,Beaver,4,4,4,42,(724) 846-2270,Contact location for hours,"610 Third Avenue
New Brighton, Pennsylvania
(40.7367, -80.3164)"
North Strabane Police Dept.,15317,Washington,63,63,63,42,(724) 746-8474,"Monday-Friday, 8am-4:30pm","1929 Route 519 South
Canonsburg, Pennsylvania
(40.2361, -80.1693)"
"Brockway Drug Co., Inc. (Pharmacy)",15824,Jefferson,33,33,33,42,(814) 268-3305,"Monday-Friday, 8am-7pm; Saturday, 9am-4pm; Sundays, 10am-12pm","1365 Main Street
Brockway, Pennsylvania
(41.2472, -78.7871)"
Newtown Township Police,18940,Bucks,9,9,9,42,(215) 579-1000 ext. 398,"Monday-Friday, 8am-4:30pm","100 Municipal Drive
Newtown, Pennsylvania
(40.2562, -74.961)"
Tulpehocken Twp. Police Department ,19550,Berks,6,6,6,42,(717) 933-5033,"Monday-Thursday, 8am-3pm","22 Rehrersburg Road
Rehrersburg, Pennsylvania
(40.4646, -76.2298)"
Douglass Township Police Department,19525,Montgomery,46,46,46,42,(610) 367-0466,"Monday-Friday, 8am-4pm","1320 East Philadelphia Ave.
Gilbertsville, Pennsylvania
(40.3206, -75.6109)"
State Police-Troop C / Marienville,16239,Forest,27,27,27,42,NA,NA,"4956 SR 899
Marienville, Pennsylvania
(41.4552, -79.1408)"
Mercyhurst North East Police,16428,Erie,25,25,25,42,(814) 725-6100,Contact location for hours,"16 W. Division St.
North East, Pennsylvania
(42.2198, -79.8359)"
North Franklin Police Dept.,15301,Washington,63,63,63,42,(724) 228-9610,"Monday-Friday, 8am-4pm","620 Franklin Farms Road
Washington, Pennsylvania
(40.1519, -80.2672)"
New Cumberland Borough Police Dept.,17070,Cumberland,21,21,21,42,(717) 774-0400,"Monday-Friday, 8am-4pm ","1120 Market Street
New Cumberland, Pennsylvania
(40.2336, -76.8725)"
West Pottsgrove Township Police Dept.,19464,Montgomery,46,46,46,42,(610) 323-2090,Contact location for hours,"980 Grosstown Road
Stowe, Pennsylvania
(40.2604, -75.6746)"
Pocono Township Police Department,18372,Monroe,45,45,45,42,NA,NA,"110 Township Drive
Tannersville, Pennsylvania
(41.0398, -75.3057)"
Titusville Police Dept.,16354,Crawford,20,20,20,42,(814) 827-1890,"Monday-Friday, 8am-4pm","323 North Franklin Street
Titusville, Pennsylvania
(41.6297, -79.6736)"
Adams County Courthouse ,17325,Adams,1,1,1,42,(717) 337-9840,"Monday-Friday, 8am-4:30pm","111 Baltimore Street
Gettysburg, Pennsylvania
(39.8295, -77.2315)"
Sunbury Police Dept.,17801,Northumberland,49,49,49,42,(570) 286-4584,"Monday-Friday, 8am-4pm","440 Market Street
Sunbury, Pennsylvania
(40.8609, -76.7899)"
Westmoreland County Park Police,15601,Westmoreland,65,65,65,42,(724) 830-3469,"7 days a week, 24 hours a day","2 North Main Street
Greensburg, Pennsylvania
(40.3032, -79.5453)"
Central Berks Regional Police Department,19606,Berks,6,6,6,42,(610) 779-1100,"Monday-Friday, 8am-12:30pm & 1:30pm-4:30pm","2147 Perkiomen Avenue
Reading, Pennsylvania
(40.328, -75.8942)"
Franconia Township Police Department,18969,Montgomery,46,46,46,42,(215) 723-6777,"Monday-Friday, 8am-5pm","671 Allentown Road
Telford, Pennsylvania
(40.3144, -75.3659)"
Waynesboro Police Dept.,17268,Franklin,28,28,28,42,(717) 762-2132,"Monday-Friday, 8am-4:30pm","57 East Main Street
Waynesboro, Pennsylvania
(39.7549, -77.5762)"
Allentown Police Dept. Substation,18101,Lehigh,39,39,39,42,(610) 437-7753,"7 days a week, 24 hours a day","1005 W. Hamilton Street
Allentown, Pennsylvania
(40.6006, -75.4782)"
Emporium Police Dept.,15834,Cameron,12,12,12,42,(814) 486-3384,"Monday-Friday, 8am-4pm; closed holidays","421 North Broad Street
Emporium, Pennsylvania
(41.5117, -78.2379)"
Bangor Police Dept.,18013,Northampton,48,48,48,42,(610) 588-4720,Contact location for hours,"30 1st Street
Bangor, Pennsylvania
(40.8674, -75.2065)"
State Police-Troop F / Coudersport,16915,Potter,53,53,53,42,NA,NA,"3140 E Second St.
Coudersport, Pennsylvania
(41.7663, -77.974)"
Canton Borough Police Dept,17724,Bradford,8,8,8,42,(570) 673-5133,Contact location for hours,"4 N Center St
Canton, Pennsylvania
(41.6542, -76.8516)"
West York Borough Police Department,17404,York,67,67,67,42,(717) 854-1975,"Monday-Friday, 9am-4:30pm","1381 W. Poplar Street
York, Pennsylvania
(39.9512, -76.7573)"
DuBois City Police Department,15801,Clearfield,17,17,17,42,(814) 371-2326,Contact location for hours,"16 West Scribner Avenue
DuBois, Pennsylvania
(41.1198, -78.7612)"
Clifton Heights Borough Police Department,19018,Delaware,23,23,23,42,NA,NA,"30 S. Springfield Road
Clifton Heights, Pennsylvania
(39.9285, -75.2963)"
State Police-Troop K / Media,19063,Delaware,23,23,23,42,NA,NA,"1342 W Baltimore Pike
Media, Pennsylvania
(39.9064, -75.4514)"
Gettysburg College Health Service,17325,Adams,1,1,1,42,(717) 337-6970,Contact location for hours,"250 West Broadway
Gettysburg, Pennsylvania
(39.838, -77.2369)"
Weis Markets - Williamsport (Lycoming Creek Rd.),17701,Lycoming,41,41,41,42,(570) 326-5144,Contact location for hours,"1916 Lycoming Creek Rd.
Williamsport, Pennsylvania
(41.2547, -77.0425)"
Bensalem Township Police,19020,Bucks,9,9,9,42,(215) 633-3700,Contact location for hours,"2400 Byberry Road
Bensalem, Pennsylvania
(40.1099, -74.9427)"
Middlesex Township Police Dept.,17013,Cumberland,21,21,21,42,(717) 249-7191,"Monday-Friday, 8am-4pm ","350 North Middlesex Road
Carlisle, Pennsylvania
(40.2133, -77.1871)"
East Hempfield Township Police Dept.,17538,Lancaster,36,36,36,42,(717) 898-3103,"Monday-Friday, 8am-4pm","1700 Nissley Road
Landisville, Pennsylvania
(40.0941, -76.3966)"
Penn College Police Dept.,17701,Lycoming,41,41,41,42,(570) 321-5555,"Monday-Friday, 8am-4:30pm ","200 College Avenue
Williamsport, Pennsylvania
(41.2351, -77.0228)"
Murrysville Police Dept.,15668,Westmoreland,65,65,65,42,(724) 327-2111,"Monday-Friday, 6am-12am","4120 Sardis Road
Murrysville, Pennsylvania
(40.4579, -79.6646)"
Upper Gwynedd Township Police Department,19454,Montgomery,46,46,46,42,NA,"Monday-Friday, 8:30am-4:30pm","1 Parkside Place
North Wales, Pennsylvania
(40.2109, -75.2782)"
