Week Begin Date,County Name,County Code,County FIPS Code,Latitude/Longitude,Total Intakes,Georeferenced Lat/Long
8/12/19,Unknown,0,,,0,
6/3/19,Chester,15,42029,"(39.9748705566, -75.7562649818)",2,POINT (-75.7562649818 39.9748705566)
11/13/17,Union,60,42119,"(40.9647313096, -77.0641580308)",0,POINT (-77.0641580308 40.9647313096)
2/12/18,Bedford,5,42009,"(40.0073753643, -78.4911647381)",0,POINT (-78.4911647381 40.0073753643)
4/17/17,Blair,7,42013,"(40.4855502384, -78.349076871)",1,POINT (-78.349076871 40.4855502384)
3/12/18,Adams,1,42001,"(39.8720956503, -77.2222427076)",0,POINT (-77.2222427076 39.8720956503)
4/3/17,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",2,POINT (-76.4618257486 40.3675970024)
1/23/17,Lycoming,41,42081,"(41.3445979226, -77.069424568)",1,POINT (-77.069424568 41.3445979226)
4/8/19,Philadelphia,51,42101,"(40.0044435384, -75.140236002)",48,POINT (-75.140236002 40.0044435384)
12/12/16,Luzerne,40,42079,"(41.1783643884, -75.991996098)",4,POINT (-75.991996098 41.178364388400006)
5/1/17,Clarion,16,42031,"(41.1927912877, -79.4248360769)",1,POINT (-79.4248360769 41.1927912877)
7/16/18,Somerset,56,42111,"(39.9714629901, -79.0310020611)",1,POINT (-79.0310020611 39.9714629901)
3/11/19,Cumberland,21,42041,"(40.167598388, -77.268662705)",2,POINT (-77.268662705 40.167598388)
4/15/19,Tioga,59,42117,"(41.7733383358, -77.2578807579)",0,POINT (-77.2578807579 41.7733383358)
4/2/18,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",3,POINT (-76.4618257486 40.3675970024)
3/13/17,Butler,10,42019,"(40.9108318483, -79.9171177889)",0,POINT (-79.9171177889 40.9108318483)
3/19/18,Cameron,12,42023,"(41.4388026531, -78.2091693241)",0,POINT (-78.2091693241 41.4388026531)
8/19/19,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",1,POINT (-76.4618257486 40.3675970024)
6/19/17,Luzerne,40,42079,"(41.1783643884, -75.991996098)",6,POINT (-75.991996098 41.178364388400006)
8/13/18,Unknown,0,,,0,
4/10/17,Bradford,8,42015,"(41.7911781401, -76.5182562384)",0,POINT (-76.5182562384 41.7911781401)
2/26/18,Crawford,20,42039,"(41.6854690692, -80.1132108295)",0,POINT (-80.1132108295 41.6854690692)
11/27/17,Philadelphia,51,42101,"(40.0044435384, -75.140236002)",31,POINT (-75.140236002 40.0044435384)
7/29/19,Warren,62,42123,"(41.8167523652, -79.278581578)",1,POINT (-79.278581578 41.8167523652)
4/3/17,Columbia,19,42037,"(41.0491208559, -76.4100217975)",2,POINT (-76.4100217975 41.0491208559)
7/22/19,McKean,42,42083,"(41.810370736, -78.5712201998)",0,POINT (-78.57122019980001 41.810370736)
11/5/18,Forest,27,42053,"(41.5135787577, -79.2378099483)",0,POINT (-79.2378099483 41.5135787577)
4/29/19,Fulton,29,42057,"(39.9248751086, -78.1148504535)",0,POINT (-78.1148504535 39.9248751086)
6/24/19,Cambria,11,42021,"(40.4912749067, -78.7189417385)",0,POINT (-78.7189417385 40.4912749067)
1/29/18,Union,60,42119,"(40.9647313096, -77.0641580308)",0,POINT (-77.0641580308 40.9647313096)
11/6/17,Cambria,11,42021,"(40.4912749067, -78.7189417385)",1,POINT (-78.7189417385 40.4912749067)
7/29/19,Fulton,29,42057,"(39.9248751086, -78.1148504535)",1,POINT (-78.1148504535 39.9248751086)
5/27/19,Clearfield,17,42033,"(41.0004290024, -78.4755834299)",0,POINT (-78.4755834299 41.0004290024)
1/28/19,Venango,61,42121,"(41.4034125863, -79.7628656104)",0,POINT (-79.7628656104 41.4034125863)
4/8/19,Wayne,64,42127,"(41.6496980525, -75.3051535022)",0,POINT (-75.3051535022 41.6496980525)
6/25/18,Berks,6,42011,"(40.4193963513, -75.9307732705)",4,POINT (-75.93077327050001 40.4193963513)
3/25/19,Philadelphia,51,42101,"(40.0044435384, -75.140236002)",37,POINT (-75.140236002 40.0044435384)
7/2/18,Venango,61,42121,"(41.4034125863, -79.7628656104)",0,POINT (-79.7628656104 41.4034125863)
2/12/18,Indiana,32,42063,"(40.6529549748, -79.0933349286)",0,POINT (-79.0933349286 40.6529549748)
6/4/18,Schuylkill,54,42107,"(40.707512431, -76.223323851)",0,POINT (-76.223323851 40.707512431000005)
9/24/18,Huntingdon,31,42061,"(40.4161050032, -77.9827661036)",0,POINT (-77.9827661036 40.4161050032)
10/9/17,Franklin,28,42055,"(39.9278619704, -77.7239884483)",1,POINT (-77.7239884483 39.9278619704)
7/15/19,Carbon,13,42025,"(40.9193670081, -75.7110703866)",0,POINT (-75.7110703866 40.9193670081)
12/18/17,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",0,POINT (-76.4618257486 40.3675970024)
6/26/17,Butler,10,42019,"(40.9108318483, -79.9171177889)",1,POINT (-79.9171177889 40.9108318483)
3/25/19,Cameron,12,42023,"(41.4388026531, -78.2091693241)",0,POINT (-78.2091693241 41.4388026531)
2/5/18,Chester,15,42029,"(39.9748705566, -75.7562649818)",2,POINT (-75.7562649818 39.9748705566)
4/10/17,Northampton,48,42095,"(40.754595404, -75.3126372576)",2,POINT (-75.3126372576 40.754595404)
11/12/18,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",0,POINT (-76.4618257486 40.3675970024)
4/9/18,Washington,63,42125,"(40.1910966345, -80.2518008276)",1,POINT (-80.2518008276 40.1910966345)
6/5/17,Franklin,28,42055,"(39.9278619704, -77.7239884483)",0,POINT (-77.7239884483 39.9278619704)
11/26/18,Butler,10,42019,"(40.9108318483, -79.9171177889)",0,POINT (-79.9171177889 40.9108318483)
6/26/17,Pike,52,42103,"(41.332571995, -75.0327092448)",2,POINT (-75.0327092448 41.332571995)
11/14/16,Lebanon,38,42075,"(40.3675970024, -76.4618257486)",0,POINT (-76.4618257486 40.3675970024)
1/2/17,Monroe,45,42089,"(41.0609178653, -75.3408360302)",4,POINT (-75.3408360302 41.0609178653)
10/23/17,Bedford,5,42009,"(40.0073753643, -78.4911647381)",0,POINT (-78.4911647381 40.0073753643)
2/19/18,Sullivan,57,42113,"(41.4480993958, -76.5147922046)",0,POINT (-76.5147922046 41.4480993958)
1/14/19,Forest,27,42053,"(41.5135787577, -79.2378099483)",0,POINT (-79.2378099483 41.5135787577)
8/28/17,Lancaster,36,42071,"(40.0459079619, -76.2513876838)",10,POINT (-76.2513876838 40.0459079619)
5/8/17,Monroe,45,42089,"(41.0609178653, -75.3408360302)",2,POINT (-75.3408360302 41.0609178653)
7/3/17,Westmoreland,65,42129,"(40.3103149985, -79.471341176)",3,POINT (-79.471341176 40.3103149985)
11/6/17,Lehigh,39,42077,"(40.6146479416, -75.6009948118)",2,POINT (-75.6009948118 40.6146479416)
3/27/17,Northumberland,49,42097,"(40.8515092572, -76.7118842273)",2,POINT (-76.7118842273 40.8515092572)
11/28/16,Columbia,19,42037,"(41.0491208559, -76.4100217975)",0,POINT (-76.4100217975 41.0491208559)
